title,content,category
Chinese economy shrinks by 2.6% in Apr-Jun quarter,"The Chinese economy shrank by 2.6% in the April-June quarter this year, as experts forecasted Beijing missing its 5.5% growth target for this financial year. This is China's weakest quarterly growth since the beginning of the pandemic. The April-June quarter was marked by the lockdowns in Shanghai and other cities as China fought to contain the coronavirus outbreak.",business
RBI's new settlement system unlikely to be used widely: Capital Economics,"The Reserve Bank of India's (RBI) new system for settling international trade in rupees is unlikely to be used widely, Capital Economics said. Assistant Economist Adam Hoyes said that most global trade is settled in dollars because settling it in alternative currencies is usually more expensive. The depth and liquidity of dollar markets make dollars a cheaper option, he added.",business
"Federal Bank's profit jumps 63% y-o-y to ₹600 crore, share price rises","The share price of private sector lender Federal Bank rose by 1.54% to ₹98.80 after it reported a 63.5% increase in net profit in the April-June quarter to ₹600.66 crore. The bank had reported a profit of ₹367 crore in the same period last year. Meanwhile, its net interest income rose by 13% to ₹1,604.5 crore.",business
Adani Ports to buy Israel's Haifa Port with local firm for $1.18 bn,"Adani Ports and Special Economic Zone have won a bid to acquire Israel's Haifa Port with local firm Gadot Group for $1.18 billion, Israel announced on Thursday. Adani Ports and Special Economic Zone will have a 70% stake and Gadot will hold the remaining 30%. Adani Ports said the acquisition will boost trade lanes with its Indian ports.",business
India's long-term growth prospects embedded in public capex programmes: FM,"Finance Minister Nirmala Sitharaman said India's long-term growth prospects are embedded in public capital expenditure programmes. Speaking at the third G20 Finance Ministers and Central Bank Governors meeting in Bali, she added that evidence-based policy making is vital for resilient economic systems. She had raised capital expenditure by 35.4% for 2022-23 to ₹7.5 lakh crore to boost demand.",business
Attach bank accounts of person in Shree Ramkrishna Electro case: SEBI,SEBI has ordered the attachment of bank accounts along with share and mutual fund holdings of an individual to recover about ₹18 crore in the Shree Ramkrishna Electro Controls case. The recovery proceedings have been ordered against Chandrakant Bhargav Gole to recover ₹5.74 crore collected by the company along with ₹12.53 crore at 15% interest per annum.,business
States' fiscal deficit may rise to ₹8.4 lakh cr due to high capex: ICRA,"States' fiscal deficit may rise to ₹8.4 lakh crore as they've budgeted 36% higher capital expenditure during 2022-23, an ICRA report said. As many as 26 large states, except Assam, have spent ₹5 lakh crore in capex, a 34% rise from FY20, it added. In budget estimates, these states have pegged their revenue receipts at ₹35.8 lakh crore.",business
It is his life and his decision: Lalit Modi's son Ruchir on his father dating Sushmita,"Ex-IPL Chairman Lalit Modi's 28-year-old son Ruchir Modi reacted to news of his father dating actress Sushmita Sen. Ruchir said, ""It's his life and his decision."" Lalit took to social media on Thursday to make his relationship with Sushmita public. Earlier today, Sushmita shared a post on Instagram, writing, ""I'm in a happy place!!!...Not married...no rings...Unconditionally surrounded by love!!"" ",sports
"RP Singh questions Kohli's absence from WI tour, says 'No one asked if we wanted to rest'","Ex-India pacer RP Singh has questioned Virat Kohli's absence from West Indies tour. He said, ""When a player is going through a bad patch...he won't ask for rest. He should play more games as taking rest won't help him return to form."" He added, ""[During my time], no one asked if we wanted to rest...you either got selected or dropped.""",sports
He needs support: Babar Azam on 'This too shall pass' tweet for Virat Kohli,"Talking about his 'This too shall pass, stay strong' tweet for Virat Kohli, Pakistan captain Babar Azam said, ""In...times [when you are out of form], you need support."" ""I just tweeted thinking...it'll give just some support. He's one of the best,"" Babar said. He added, ""He's playing a lot of cricket...He knows how to come out of these situations.""",sports
Quite refreshing to know that Virat Kohli is a human: Jos Buttler,"Talking about Virat Kohli amid his poor form, England white-ball captain Jos Buttler said, ""It's quite refreshing for the rest of us [to know] that Kohli is a human and he can have a couple of low scores as well."" Buttler added, ""Kohli has been one of the best players...if not the best player in ODI cricket in the world.""",sports
"All 16 teams to feature in men's T20 World Cup 2022 confirmed, ICC share list","Netherlands and Zimbabwe have booked their place in ICC men's T20 World Cup 2022 after winning their semi-finals of Global Qualifier B. With this, all 16 teams to qualify for the tournament have been confirmed. Ireland and UAE qualified from Global Qualifier A, while top 11 teams from the men's T20 World Cup 2021 and hosts Australia had already qualified.",sports
How has Kohli performed in int'l cricket since his last hundred 965 days ago?,"Ex-Team India captain Virat Kohli has gone 965 days without scoring an international hundred. Since his last international hundred which came on November 23, 2019, Kohli has scored 2,537 runs in 78 international innings across formats at an average of 35.73. He has hit 24 fifties, with highest score of 94*(50) that came in a T20I on December 6, 2019.",sports
Initially I thought the makers were just kidding: Mithali on 'Shabaash...',"Discussing 'Shabaash Mithu' which is a biopic on her, ex-Indian women's cricket team captain Mithali Raj said, ""Initially, I thought [the makers] were...kidding, but when...[they] told me in detail, I realised this is reality."" ""[The film] has been an emotional ride,"" read a tweet from Mithali. ""Cricket wasn't a part of my vision. It was dad's decision,"" Mithali had shared.",sports
Indian duo of Arjun-Kapila crashes out in Singapore Open men's quarters,"Unseeded Indian duo of MR Arjun and Dhruv Kapila crashed out of Singapore Open 2022 after losing to second seeds Mohammad Ahsan and Hendra Setiawan in the men's doubles quarter-final on Friday. The second seeded Indonesian pair defeated Arjun and Kapila 10-21, 21-18, 21-17 in 49 minutes. Earlier in the day, third seeded PV Sindhu entered the women's singles semi-final.",sports
We'll try our best to win men's hockey gold at CWG 2022: Harmanpreet,"Ahead of upcoming Commonwealth Games 2022, Indian men's hockey team vice-captain Harmanpreet Singh said his side will try their best to win a gold medal in Birmingham. ""Our team has been performing well. We played well in FIH Hockey Pro League as well,"" he added. India will face Ghana in their first match of Pool B on July 31.",sports
World no. 24 Saina loses to world no. 30 Ohori in Singapore Open quarters,"Indian shuttler Saina Nehwal lost to world number 30 Aya Ohori of Japan 13-21, 21-15, 20-22 in women's singles quarter-final at Singapore Open 2022 on Friday. The world number 24 lost the match in one hour three minutes. In men's singles quarter-final, India's HS Prannoy was beaten by world number 43 Kodai Naraoka. The Japanese defeated Prannoy 12-21, 21-14, 21-18.",sports
Rohit struggles against swinging deliveries of left-arm seamers: Jaffer,"Former India batter Wasim Jaffer has said that Indian skipper Rohit Sharma struggles against ""left-arm seamers when the ball swings"". ""Reece Topley bowled really well. Even the shot Rohit played before he got out was loose as well,"" Jaffer said. ""Shikhar Dhawan still looks rusty. He hasn't found his touch because he hasn't played a lot of cricket,"" he added.",sports
Dropping Willey's catch was key moment: Giles on India's loss by 100 runs,"After India lost to England by 100 runs on Thursday, former English spinner Ashley Giles said that India dropping the catch of England's David Willey was a ""key moment"" in the match. ""Willey was on 1 and went on to get 40-odd at close to a run-a-ball...Both Willey and Reece Topley upfront carried that momentum into India's batting,"" Giles said.",sports
Finland replaces Russia as host of 6th leg of ISU Figure Skating Grand Prix,"Finland has been named as the new hosts of the sixth leg of Grand Prix of Figure Skating Series after Russia was removed following its invasion of Ukraine, said International Skating Union (ISU). The November 25-27 event will be held in Espoo, Finland. The final will be held in Turin, Italy, from December 8-11.",sports
Sindhu advances to semis despite losing 1st set at Singapore Open,"Indian badminton player PV Sindhu has advanced to the semi-final stage in the women's singles event of the Singapore Open 2022 after defeating China's Han Yue on Friday. Sindhu lost the first set against Yue yet she won the match by 17-21, 21-11 and 21-19. The 27-year-old shuttler will now meet Japan's Saena Kawakami on Saturday.",sports
Pacer Navdeep Saini joins Kent to play in English domestic cricket,"Indian pacer Navdeep Saini has joined the Kent County Cricket Club to play in the ongoing English domestic cricket season. The 29-year-old bowler has signed a contract to play a total of eight games, subject to his visa clearance. ""In a year when it's been difficult to take wickets, we're excited to...add [Saini],"" said Paul Downton, the Director of Kent.

",sports
He has never been more desperate to score: Ojha after Kohli's 16(25),"Ex-India spinner Pragyan Ojha said Virat Kohli has ""never been more desperate to score runs"" following his dismissal for 16 off 25 balls in the second ODI against England. ""There's been a lot of talk around his lack of form and he...would also be thinking about it a lot,"" added Ojha. ""Kohli [is] chasing the outside off deliveries,"" he stated.",sports
It seemed like Pant had premeditated his shot in 2nd ODI: Ojha,"Following Rishabh Pant's 0(5) in second ODI against England, Pragyan Ojha said it seemed like the India wicketkeeper-batter premeditated his shot in match. ""He had to check his shot as it was a full-toss delivery...got out while trying to do that,"" he added. Ojha further said Pant should be given some cushion because of his ability to play match-winning innings.",sports
"Wimbledon champ Rybakina to donate £2-mn prize money to juniors, animal charity","Elena Rybakina, who became the first Kazakh player to win a Grand Slam at Wimbledon 2022, said she would like to donate the majority of her £2 million prize money to juniors and some of it to the animal shelter. The 23-year-old, who was born in Moscow and shifted to Kazakhstan in 2018, defeated Ons Jabeur in the Wimbledon final.",sports
Doctor recommended cannabis use: Griner amid Russia drug trial,"Jailed American basketball player Brittney Griner's lawyer has submitted to a Russian court a US doctor's note recommending the WNBA star use medical cannabis to treat pain. Griner was detained at Moscow airport in February after cannabis oil was allegedly found in her luggage. If found guilty of transporting drugs, she faces up to 10 years in a Russian jail.",sports
ODI format suits Dhawan the best; glad selectors showed faith: Manjrekar,"Former India cricketer Sanjay Manjrekar has said that the one-day cricket format suits a lot to India's opening batter Shikhar Dhawan. ""This is a format [ODI] that suits him best...where he's been excellent. And I'm so glad that selectors have shown faith in him,"" Manjrekar said. ""If you look at his [ODI] performances, it's always been the best,"" he added.",sports
Every innings is going to pile up pressure: Jaffer after Kohli's 16 at Lord's,"Speaking about Virat Kohli's poor form, Wasim Jaffer stated that every innings is going to pile up pressure on him and probably put doubts in him. ""People keep reminding him. I'm sure it adds up...if he had played those T20Is [against West Indies], he would've been in touch,"" he added. Kohli scored 16(25) against England in second ODI at Lord's.",sports
Roger Federer calls me 'Quack': World no. 74 James Duckworth,"World number 74 James Duckworth has revealed that 20-time Grand Slam champion Roger Federer calls him ""Quack"". He added, ""We were playing at the Australian Open [2014] one year and it often happens as well, the quacking in the crowd and he thought that it was pretty funny. So that's what he calls me."" Notably, Duckworth is known as ""Ducks"".",sports
Kyrgios is still disappointed to come so close but not win Wimbledon: Hewitt,"Talking about Nick Kyrgios, who reached his maiden Grand slam final at Wimbledon last week, ex-world number one Lleyton Hewitt said deep down the fellow Australian is still disappointed to come so close but not win Wimbledon title. He added that Kyrgios should be proud of his whole grass-court season. Novak Djokovic beat Kyrgios 4-6, 6-3, 6-4, 7-6(7-3) in final. ",sports
"Go and cause chaos, he's such a good player: Vaughan to Pant","Reacting to Rishabh Pant's form in limited-overs series against England, Michael Vaughan said ​​the India wicketkeeper-batter needs to be more aggressive. ""He has got bat in his hand, go...cause chaos,"" he added. ""He's such a good player, you just want him to have that freedom,"" he further said. He's scored 26, 1, 0 in limited-overs matches in England so far.",sports
He needs bit more willpower to emerge from this phase: Saba on Kohli's form,"Following Virat Kohli's dismissal in second ODI against England, Saba Karim said the India batter needs a little more concentration and stronger willpower to emerge from the ongoing phase of low scores. Kohli scored 16 runs off 25 deliveries at Lord's on Thursday. The ex-India captain scored his last international century in November 2019. ",sports
Twitter sues Elon Musk for backing out of $44 billion deal,"Twitter has sued Elon Musk for violating his $44 billion deal to buy the social media platform. ""Musk apparently believes that he...is free to change his mind, trash the company...and walk away,"" said the lawsuit. Musk said he was terminating the deal because Twitter violated the agreement by failing to respond to requests for information regarding fake or spam accounts.",technology
"DRI detects customs duty evasion of ₹4,389 crore by Oppo India","The Directorate of Revenue Intelligence (DRI) has detected customs duty evasion of nearly ₹4,389 crore by Oppo India. Searches were conducted by DRI at office of Oppo India and residences of its key management employees. This led to the recovery of incriminating evidence indicating wilful mis-declaration in the description of certain items imported by Oppo India.",technology
Delhi HC allows Vivo to operate bank accounts if it furnishes bank guarantee of ₹950 cr,The Delhi High Court has allowed Chinese smartphone manufacturer Vivo to operate its bank accounts if it furnishes a bank guarantee of ₹950 crore. The court has also directed Vivo to maintain ₹250 crore in its accounts. Vivo India on Friday approached the court challenging the freezing of its bank accounts by ED in connection with a money laundering case.,technology
'Oh the irony lol' tweets Elon Musk after Twitter sues him,"Minutes after news surfaced that Twitter has sued him for breaching the $44 billion contract, Tesla CEO Elon Musk took to the microblogging site and tweeted, ""Oh the irony lol"". As per The Verge, the lawsuit was filed in Delaware's Court of Chancery, accusing Musk of hypocrisy. Twitter is represented by M&A law firm Wachtell, Lipton, Rosen & Katz.",technology
Twitter down for thousands of users across the globe,"Twitter is down for thousands of users across the globe, according to outage tracking website Downdetector. The issues started with the service at around 5:40 pm IST, with a lot of users reporting 'over capacity' error messages. It is the first major Twitter outage since February, as per The Verge.",technology
Elon Musk's mother shares pics from his startup Zip2's opening event from 1997,"Tesla CEO Elon Musk's mother Maye Musk took to Twitter to share pictures of the opening of Zip2's global headquarters in Mountain View, California, in 1997. Zip2, a web software startup that created online city guides for newspapers, was the first company founded by Elon Musk. Earlier, a picture of Musk's 1995 business card of Zip2 went viral on Twitter.",technology
"Like all firms, we are not immune to economic headwinds: Google CEO to staff","In an internal memo to the staff, Google CEO Sundar Pichai while announcing the company’s plan to slow its hiring, said, ""Like all companies, we’re not immune to economic headwinds"". He added, “The uncertain global economic outlook has been top of mind...We’ve never viewed these types of challenges as obstacles. Instead, we’ve seen them as opportunities to deepen our focus.""",technology
Google to slow hiring for rest of the year: CEO Pichai tells employees,"Google CEO Sundar Pichai in an internal memo to the staff has announced that they will be ""slowing down the pace of hiring for the rest of the year"" amid an uncertain global economic outlook. He added, Google will focus on hiring for ""critical roles"" and will be ""pausing development"" in some cases and ""re-deploying resources to higher priority areas"". ",technology
"Twitter uses Musk's old poop reaction to CEO's tweet as evidence in court, he reacts","Twitter has used Tesla CEO Elon Musk's poop reaction to one of CEO Parag Agrawal's tweets on spam accounts in May as evidence against him in court. The Twitter lawsuit alleged that Musk has repeatedly disparaged Twitter and created business risk for the company. Meanwhile, reacting to this, Musk used another poop emoji and wrote, ""= bs"".",technology
"Video shows SpaceX rocket booster exploding during test, Musk responds","A rocket booster developed by SpaceX for its next-generation Starship spacecraft burst into flames during a ground-test firing on Monday in Texas. Responding to a livestream video recorded by the website NASASpaceflight, SpaceX CEO Elon Musk said, ""Actually not good. Team is assessing the damage."" It was not yet clear as to what caused the explosion.",technology
Elon has a real record of success: LinkedIn Co-founder defends Musk against Trump,"LinkedIn's billionaire Co-founder Reid Hoffman defended Tesla CEO Elon Musk after former US President Donald Trump called the former a ""bullshit artist"" over the $44 billion Twitter deal. Hoffman tweeted, ""Elon's a classic American immigrant story- an entrepreneur with a real record of success…[Whereas] Trump is a spoiled rich kid who bankrupts everything he touches. Including the US economy.""",technology
Kerala becomes the only state with its own internet service: CM Vijayan,"Kerala has become the only state in India with its own internet service, CM Pinarayi Vijayan said on Thursday. ""The Kerala Fiber Optic Network Limited has received the ISP license from the Centre's Department of Telecommunications,"" he added. With this, Kerala's KFON project can kickstart its operations of providing internet as a basic right to our people, Vijayan further said.",technology
Govt releases list of 4 participants of India's 1st 5G spectrum auction,"The Centre has released a list naming Adani Data Networks, Reliance Jio, Bharti Airtel and Vodafone Idea as the participants of India’s first 5G spectrum auction which will be held on July 26. A total of 72,097.85 MHz of airwaves will be auctioned and the winner will have the right to use the spectrum for 20 years.",technology
"What a waste of time, energy & money: Mahindra on fallout of Elon Musk-Twitter deal","Anand Mahindra has commented on the fallout of the $44-billion deal between Elon Musk and Twitter. ""What a waste of time, energy & money,"" he wrote. He added, ""Twitter's an indispensable source of news and connectedness. Can it be run like a quasi social enterprise...listed, for profit...but with...strong charter & managed by...board with directors who act responsibly like trustees?""",technology
No plans for company-wide layoffs: Twitter amid lawsuit against Musk,"In a filing, Twitter has said that it isn't looking at company-wide layoffs but could continue to restructure the business. The filing comes a day after it sued Tesla CEO Elon Musk for violating his $44 billion deal. In May, Twitter said it would pause hiring and review all existing job offers to determine whether any ""should be pulled back"".",technology
Pic of Elon Musk's business card from 1995 goes viral,"A picture of Tesla CEO Elon Musk's business card from 1995 has gone viral on social media. The picture was shared by a Twitter handle named DogeDesigner. Responding to the picture of the card, which described Musk as Chairman of the Board, Chief Technology Officer and Co-founder of Zip2, Musk tweeted, ""Ancient times.""",technology
Will prove our position in court & we believe we'll prevail: Twitter CEO to staff,"Following a lawsuit against Tesla CEO Elon Musk over the $44 billion acquisition agreement, Twitter CEO Parag Agrawal told his staff, ""We will prove our position in court and we believe we will prevail."" Twitter's lawsuit has accused Musk of ""a long list"" of violations of the merger agreement that ""cast a pall over Twitter and its business"". 
",technology
Musk accused lawyers of causing trouble by seeking deal's financing info: Twitter,"In its lawsuit against Tesla CEO Elon Musk, Twitter has shared a purported image of a text message that Musk sent to CEO Parag Agrawal before terminating the deal. Musk's message read, ""Your lawyers are using these conversations to cause trouble….That needs to stop."" Musk's message was in response to the company seeking information regarding the deal's financing.
",technology
WhatsApp to now let users react to messages with any emoji of their choice,"WhatsApp is rolling out a new update that will allow users to use any emoji as a reaction to text messages. Until now, users had the option of using six emojis: a thumbs up, a heart, a crying laughing face, a shocked one, a tearful one and joined hands. Meta CEO Mark Zuckerberg announced the new feature on Facebook. 
",technology
MHA website ranks 1st among central ministry services portals: Govt,The Ministry of Home Affairs has ranked first and its Digital Police portal second in a service delivery assessment of websites of central government ministries. The National e-Governance Service Delivery Assessment is a periodic assessment intended to improve the effectiveness of the states and Union Territories and the central government in the delivery of their online services to the public.,technology
RBI likely to introduce new rules for fintech firms: Report,"The Reserve Bank of India (RBI) is likely to announce new regulations for fintech companies, Moneycontrol reported. The rules will likely cover areas such as data sharing, privacy, compliance with KYC and anti-money laundering norms, the report said. This comes in the wake of complaints related to some fintechs charging usurious interest rates and other issues, the report added.",technology
"HCL Tech Q1 profit rises 2.11% to ₹3,281 crore, company declares ₹10 dividend","HCL Technologies on Tuesday reported a consolidated net profit of ₹3,281 crore in the June quarter, up 2.11% from ₹3,213 crore in the corresponding quarter last year. The company's consolidated revenue increased by 16.92% to ₹23,464 crore as against ₹20,068 crore reported in the year-ago period. The company has declared a dividend of ₹10 per share.",technology
Ola Electric invests $100 mn in battery cell research: Report,"Ola Electric, the electric vehicle arm of Ola, has invested $100 million in lithium-ion battery cell research and development, according to reports from brokerages ICICI Securities and Edelweiss. CEO Bhavish Aggarwal unveiled the first indigenously developed lithium-ion battery cell. Ola will begin the mass production of the cell by 2023 and aims to develop the in-house capability by 2026.",technology
Netflix ties up with Microsoft for cheaper ad-supported subscription,"Netflix has announced a partnership with Microsoft for its ad-supported subscription plan. The technology giant will serve as a ""global advertising technology and sales partner"" for the streaming service. Netflix had announced in April that it was looking to offer a cheaper ad-supported option to its customers after nearly 200,000 subscribers left the platform in this year's first quarter.",technology
"Russia fines Apple $33,900 for alleged data storage violation: Report","A court in Russia fined Apple 2 million roubles ($33,900) on Tuesday for allegedly refusing to store the data of Russian citizens on Russian territory, the news agency Interfax reported. Previously, the US tech giant was fined by the Netherlands several times for failing to comply with an order to provide non-Apple payment methods for dating apps.",technology
It is his life and his decision: Lalit Modi's son Ruchir on his father dating Sushmita,"Ex-IPL Chairman Lalit Modi's 28-year-old son Ruchir Modi reacted to news of his father dating actress Sushmita Sen. Ruchir said, ""It's his life and his decision."" Lalit took to social media on Thursday to make his relationship with Sushmita public. Earlier today, Sushmita shared a post on Instagram, writing, ""I'm in a happy place!!!...Not married...no rings...Unconditionally surrounded by love!!"" ",entertainment
Joe Jonas and Sophie Turner welcome 2nd child,"Joe Jonas and Sophie Turner have welcomed their second child, their representative told media. 
""Joe and Sophie are happy to announce the arrival of their baby girl,"" the representative stated. Joe and Sophie, who got married in Las Vegas back in 2019, previously welcomed daughter Willa in July 2020.",entertainment
"Sushmita shares 1st post after Lalit Modi says they are dating, says 'clarified enough'","Sushmita Sen has shared her first post after Lalit Modi revealed that they are dating. Sharing a picture with her daughters, Sushmita wrote, ""I am in a happy place. Not married...no rings...Enough clarification given...now back to life & work."" ""Thank you for sharing in my happiness always, and for those who don't...it's #NOYB anyway,"" she added.",entertainment
"B'wood will keep sinking as long as it has Kings, Sultans: Vivek Agnihotri","Filmmaker Vivek Agnihotri shared a tweet stating, ""Why Shah Rukh Khan is still 'king of Bollywood'"" along with an article on the actor. The filmmaker wrote alongside the tweet, ""As long as Bollywood has Kings, Badshahs, Sultans, it will keep sinking."" He further wrote, ""Make it people's industry with people's stories, it will lead the global film industry. #FACT.""",entertainment
"Actor Sreejith Ravi, accused of flashing his genitals at 2 children, gets bail","Kerala High Court on Friday granted bail with conditions to actor Sreejith Ravi, arrested in connection with a POCSO case in Thrissur last week. It granted him bail considering the defence argument that Sreejith had been under treatment for behavioural disorder for last six years. He was arrested for allegedly flashing his genitals at two minor girls at a park.

",entertainment
Most of the current actors have forgotten what heroism is: Sanjay Dutt,"Actor Sanjay Dutt said most of the current actors have forgotten what heroism is and what commercial cinema is all about. ""There's nothing to [be] scared of in working opposite each other...Don't get insecure,"" added Sanjay. Discussing the characters he would like to play, Sanjay stated 'Thanos' from 'Avengers: Infinity War' and 'Joker' from the 'Batman' franchise would be fun.",entertainment
"Tara to make singing debut in 'Ek Villain...', song to release on July 16",Actress Tara Sutaria is all set to make her singing debut with a song titled 'Shaamat' for her upcoming film 'Ek Villain Returns'. She took to Instagram on Friday to share the news with her fans and followers and added that the song will be released on July 16. The lyrics for the song have been written by Prince Dubey. ,entertainment
"KK's family calls his death 'worst pain', says 'He was a different species'","Late singer KK's family has shared a note on his official Instagram handle, saying that his death is the worst pain they have experienced. ""He was a different species of human, not only...as a performer but...as a father/husband,"" the note read. It added that KK ""got the chance to be doing what he loved almost until his last moments"". ",entertainment
"Hrithik and I are closer in our method, Ranbir is very talkative: Vaani","Speaking about her co-stars, actress Vaani Kapoor said that she is the closest to actor Hrithik Roshan in their methods of acting. ""He also doesn't talk much...We both just [sit] next to each other [quietly] thinking about the scene,"" she said. The actress further said that her 'Shamshera' co-star Ranbir Kapoor can be talkative and still transition suddenly.",entertainment
"I wish I'd get a role like 'Padmaavat', 'Bajirao Mastani': Sai Pallavi","Actress Sai Pallavi has stated that she has seen a few films which made her wish to get a role like that. ""I have seen 'Padmaavat' and 'Bajirao Mastani' and sometimes you will think so,"" the actress added. She further said that she felt satisfied doing 'Shyam Singha Roy' in which she played someone from a different time.",entertainment
